数据编号,槽开口宽度Bs0（mm）,永磁体轴向长度/动子极距            a,气隙厚度gap（mm）,线圈径向宽度rcoil（mm）,永磁体径向长度rpm（mm）,平均推力（N）,推力波动（N）,平均铜损(W),平均铁损(W),,,,,,,平均铜损(mW),平均铁损(mW)
141,0.99393321,0.447213595,1.341640786,-1.224744871,0.292770022,86.18469453,38.97250691,18.70676915,1.194093831,,,,,,,24535.49533,1194.093831
142,-0.141990459,1.341640786,-1.341640786,1.224744871,-0.878310066,98.15933013,53.28532837,22.80262232,1.140220352,,,,,,,24535.49533,1140.220352
143,0.283980917,1.341640786,1.341640786,-1.224744871,1.463850109,87.84683452,56.0646252,19.3956301,0.90472958,,,,,,,19051.26592,904.7295796
144,-0.141990459,-0.447213595,-1.341640786,-1.224744871,0.292770022,82.54254761,29.48913489,18.1897587,0.850612876,,,,,,,19051.26592,850.6128756
145,0.709952293,0.447213595,-1.341640786,1.224744871,0.878310066,113.337429,83.92871069,24.1026702,0.993908498,,,,,,,21857.04081,993.9084983
146,-0.141990459,0.447213595,1.341640786,1.224744871,0.292770022,99.15443343,44.72457402,24.31911344,0.931839013,,,,,,,21857.04081,931.8390126
147,0.99393321,0.447213595,1.341640786,-1.224744871,0.878310066,91.97562549,29.80740282,19.05126592,1.085682455,,,,,,,24751.81749,1085.682455
148,0.283980917,1.341640786,1.341640786,1.224744871,-0.292770022,92.99887169,34.22901842,23.8861639,1.018585206,,,,,,,24751.81749,1018.585206
149,0.283980917,1.341640786,-1.341640786,1.224744871,0.292770022,109.2658171,76.23893524,23.66959277,1.344673144,,,,,,,18879.03457,1344.673144
150,0.99393321,1.341640786,-1.341640786,-1.224744871,-1.463850109,67.49713961,34.16104437,17.15467555,1.322974215,,,,,,,18879.03457,1322.974215
151,-0.141990459,1.341640786,1.341640786,-1.224744871,1.463850109,89.08282848,56.27536575,19.3956301,1.48363355,,,,,,,21662.82905,1483.63355
152,0.283980917,-0.447213595,-1.341640786,1.224744871,0.878310066,109.3785105,44.71474012,24.1026702,1.439202217,,,,,,,21662.82905,1439.202217
153,0.709952293,-0.447213595,-1.341640786,1.224744871,0.878310066,108.3134537,48.49615857,24.1026702,1.645417134,,,,,,,24535.49533,1645.417134
154,0.709952293,1.341640786,-1.341640786,-1.224744871,0.878310066,96.46496045,74.51711325,18.53446871,1.607367935,,,,,,,24535.49533,1607.367935
155,0.709952293,0.447213595,1.341640786,1.224744871,-0.878310066,72.12092233,22.56808159,23.45295499,1.18825967,,,,,,,19051.26592,1188.25967
156,0.709952293,-0.447213595,1.341640786,1.224744871,0.292770022,94.63366965,22.25234926,24.31911344,1.148664448,,,,,,,19051.26592,1148.664448
157,-0.141990459,-0.447213595,-1.341640786,1.224744871,-0.878310066,88.29957857,32.76936768,22.80262232,1.302621351,,,,,,,21857.04081,1302.621351
158,-0.141990459,0.447213595,1.341640786,-1.224744871,-1.463850109,69.28408663,24.56194018,17.67240468,1.256391769,,,,,,,21857.04081,1256.391769
159,0.99393321,-0.447213595,-1.341640786,1.224744871,1.463850109,132.0564421,58.63637562,24.53549533,1.439397017,,,,,,,24751.81749,1439.397017
160,0.709952293,-0.447213595,1.341640786,1.224744871,0.878310066,105.2537375,37.93057502,24.75181749,1.36992132,,,,,,,24751.81749,1369.92132
161,0.99393321,-0.447213595,-1.341640786,1.224744871,-1.463850109,80.66048853,57.29326863,22.368697,1.076894206,,,,,,,19223.46413,1076.894206
162,0.709952293,-0.447213595,1.341640786,1.224744871,-0.292770022,85.46406675,25.42146143,23.8861639,1.024048964,,,,,,,19223.46413,1024.048964
163,-0.141990459,-0.447213595,1.341640786,-1.224744871,-0.878310066,73.03371837,20.04884899,18.01734701,1.185670859,,,,,,,22051.2079,1185.670859
164,-0.141990459,1.341640786,1.341640786,-1.224744871,0.292770022,86.13473104,46.26391722,18.70676915,1.125014873,,,,,,,22051.2079,1125.014873
165,0.283980917,1.341640786,1.341640786,1.224744871,1.463850109,125.6997701,65.14579714,25.18428894,1.285789199,,,,,,,24968.08152,1285.789199
166,0.99393321,1.341640786,1.341640786,1.224744871,-1.463850109,78.22810783,29.13325801,23.01947179,1.230987743,,,,,,,24968.08152,1230.987743
167,-0.141990459,1.341640786,-1.341640786,1.224744871,-1.463850109,88.34919606,49.95818233,22.368697,0.992428752,,,,,,,19395.6301,992.4287518
168,-0.141990459,0.447213595,-1.341640786,-1.224744871,-0.292770022,84.17504753,64.35000146,17.84489606,0.932367266,,,,,,,19395.6301,932.3672656
169,0.283980917,1.341640786,1.341640786,1.224744871,-1.463850109,81.24215664,29.25042141,23.01947179,1.081562292,,,,,,,22245.3315,1081.562292
170,-0.141990459,1.341640786,1.341640786,1.224744871,-1.463850109,75.00008446,28.66695482,23.01947179,1.029516713,,,,,,,22245.3315,1029.516713
171,-0.141990459,0.447213595,-1.341640786,1.224744871,0.878310066,116.12937,89.28723051,24.1026702,1.174353753,,,,,,,25184.28894,1174.353753
172,0.283980917,1.341640786,1.341640786,-1.224744871,-1.463850109,63.52005273,29.11555248,17.67240468,1.119598928,,,,,,,25184.28894,1119.598928
173,0.99393321,-0.447213595,1.341640786,-1.224744871,-0.292770022,80.6496706,36.08461593,18.36213224,0.844768811,,,,,,,17154.67555,844.768811
